VERSION,REGION,IO_MALLOC_FLAG,SIZE,THREAD_NUM,AVG_TOTAL_TIME,STD_TOTAL_TIME,%STD
mandelbrot_omp,elephant,0,256,4,0.017342,0.000398,2.29%
mandelbrot_omp,spiral,0,256,4,0.020595,0.000354,1.72%
mandelbrot_omp,full,0,256,8,0.003315,0.000192,5.80%
mandelbrot_omp,seahorse,0,256,8,0.014500,0.000374,2.58%
mandelbrot_omp,elephant,0,256,8,0.013318,0.000476,3.57%
mandelbrot_omp,spiral,0,256,8,0.015612,0.000434,2.78%
mandelbrot_omp,full,0,256,16,0.003261,0.000165,5.05%
mandelbrot_omp,seahorse,0,256,16,0.015031,0.000404,2.68%
mandelbrot_omp,elephant,0,256,16,0.013510,0.000550,4.07%
mandelbrot_omp,spiral,0,256,16,0.015514,0.000246,1.59%
mandelbrot_omp,full,0,256,32,0.003640,0.000180,4.94%
mandelbrot_omp,seahorse,0,256,32,0.015252,0.000200,1.31%
mandelbrot_omp,elephant,0,256,32,0.014140,0.000537,3.80%
mandelbrot_omp,spiral,0,256,32,0.016311,0.000357,2.19%
mandelbrot_omp,full,0,512,1,0.034770,0.000409,1.18%
mandelbrot_omp,seahorse,0,512,1,0.24251,0.00224,0.92%
mandelbrot_omp,elephant,0,512,1,0.22748,0.00169,0.74%
mandelbrot_omp,spiral,0,512,1,0.27579,0.00194,0.70%
mandelbrot_omp,full,0,512,2,0.018602,0.000246,1.32%
mandelbrot_omp,seahorse,0,512,2,0.12441,0.00128,1.03%
mandelbrot_omp,elephant,0,512,2,0.11873,0.00115,0.97%
mandelbrot_omp,spiral,0,512,2,0.14189,0.00111,0.78%
mandelbrot_omp,full,0,512,4,0.010729,0.000239,2.23%
mandelbrot_omp,seahorse,0,512,4,0.066651,0.000824,1.24%
mandelbrot_omp,elephant,0,512,4,0.064041,0.000867,1.35%
mandelbrot_omp,spiral,0,512,4,0.075525,0.000589,0.78%
mandelbrot_omp,full,0,512,8,0.008770,0.000310,3.54%
mandelbrot_omp,seahorse,0,512,8,0.047545,0.000787,1.66%
mandelbrot_omp,elephant,0,512,8,0.046502,0.000965,2.07%
mandelbrot_omp,spiral,0,512,8,0.055269,0.000913,1.65%
mandelbrot_omp,full,0,512,16,0.008959,0.000318,3.55%
mandelbrot_omp,seahorse,0,512,16,0.04862,0.00111,2.28%
mandelbrot_omp,elephant,0,512,16,0.045996,0.000860,1.87%
mandelbrot_omp,spiral,0,512,16,0.05456,0.00120,2.20%
mandelbrot_omp,full,0,512,32,0.009623,0.000200,2.08%
mandelbrot_omp,seahorse,0,512,32,0.04891,0.00106,2.17%
mandelbrot_omp,elephant,0,512,32,0.044898,0.000556,1.24%
mandelbrot_omp,spiral,0,512,32,0.05406,0.00108,1.99%
mandelbrot_omp,full,0,1024,1,0.13065,0.00199,1.52%
mandelbrot_omp,seahorse,0,1024,1,0.95267,0.00485,0.51%
mandelbrot_omp,elephant,0,1024,1,0.89999,0.00310,0.34%
mandelbrot_omp,spiral,0,1024,1,1.08563,0.00347,0.32%
mandelbrot_omp,full,0,1024,2,0.067713,0.000505,0.75%
mandelbrot_omp,seahorse,0,1024,2,0.48721,0.00120,0.25%
mandelbrot_omp,elephant,0,1024,2,0.46004,0.00213,0.46%
mandelbrot_omp,spiral,0,1024,2,0.55714,0.00236,0.42%
mandelbrot_omp,full,0,1024,4,0.036662,0.000613,1.67%
mandelbrot_omp,seahorse,0,1024,4,0.25873,0.00154,0.59%
mandelbrot_omp,elephant,0,1024,4,0.24451,0.00110,0.45%
mandelbrot_omp,spiral,0,1024,4,0.29544,0.00144,0.49%
mandelbrot_omp,full,0,1024,8,0.027617,0.000857,3.10%
mandelbrot_omp,seahorse,0,1024,8,0.18399,0.00179,0.97%
mandelbrot_omp,elephant,0,1024,8,0.17409,0.00161,0.92%
mandelbrot_omp,spiral,0,1024,8,0.20951,0.00187,0.89%
mandelbrot_omp,full,0,1024,16,0.027749,0.000549,1.98%
mandelbrot_omp,seahorse,0,1024,16,0.183452,0.000819,0.45%
mandelbrot_omp,elephant,0,1024,16,0.17442,0.00209,1.20%
mandelbrot_omp,spiral,0,1024,16,0.21000,0.00184,0.88%
mandelbrot_omp,full,0,1024,32,0.028491,0.000802,2.81%
mandelbrot_omp,seahorse,0,1024,32,0.18470,0.00139,0.75%
mandelbrot_omp,elephant,0,1024,32,0.17592,0.00219,1.24%
